day,pct
12.2,2.82
13.8,3.58
15.4,3.58
17.0,4.34
18.6,5.1
20.2,5.1
21.8,5.1
23.4,5.1
25.0,3.58
26.6,3.58
28.2,3.58
29.8,3.58
31.4,3.58
33.0,5.1
34.6,5.1
36.2,6.62
37.8,8.15
39.4,8.15
41.0,8.91
42.6,8.91
44.3,8.91
45.9,8.91
47.5,8.15
49.1,8.15
50.7,8.91
52.3,9.67
53.9,8.91
55.5,8.91
57.1,9.67
58.7,9.67
60.3,10.43
61.9,10.43
63.5,11.19
65.1,11.19
66.7,11.19
68.3,12.71
69.9,12.71
71.5,11.95
73.1,11.95
74.7,11.95
76.3,11.19
77.9,11.19
79.5,12.71
81.1,14.23
82.7,14.23
84.3,12.71
85.9,12.71
87.5,13.47
89.1,14.23
90.7,15.75
92.4,15.75
94.0,15.75
95.6,15.75
97.2,15.75
98.8,16.51
100.4,17.27
102.0,17.27
103.6,18.79
105.2,18.79
106.8,18.79
108.4,20.31
110.0,20.31
111.6,18.03
113.2,18.03
114.8,18.79
116.4,20.31
118.0,20.31
119.6,21.83
121.2,21.83
122.8,23.35
124.4,24.11
126.0,25.63
127.6,27.15
129.2,27.91
130.8,27.91
132.4,26.39
134.0,26.39
135.6,27.91
137.2,30.19
138.8,31.71
140.4,33.23
142.1,33.99
143.7,36.27
145.3,35.51
146.9,33.99
148.5,32.47
150.1,33.23
151.7,35.51
153.3,37.79
154.9,37.03
156.5,36.27
158.1,34.75
159.7,35.51
161.3,37.03
162.9,37.03
164.5,38.55
166.1,40.07
167.7,40.07
169.3,40.83
170.9,40.07
172.5,40.07
174.1,39.31
175.7,38.55
177.3,37.79
178.9,40.83
180.5,41.59
182.1,43.11
183.7,44.63
185.3,46.15
186.9,46.15
188.5,45.39
190.2,43.87
191.8,45.39
193.4,43.87
195.0,42.35
196.6,42.35
198.2,42.35
199.8,40.07
201.4,39.31
203.0,37.03
204.6,37.03
206.2,36.27
207.8,37.79
209.4,40.83
211.0,41.59
212.6,43.11
214.2,43.11
215.8,40.83
217.4,40.07
219.0,40.83
220.6,42.35
222.2,44.63
223.8,45.39
225.4,43.87
227.0,44.63
228.6,45.39
230.2,43.87
231.8,43.11
233.4,42.35
235.0,41.59
236.6,40.07
238.3,42.35
239.9,43.11
241.5,44.63
243.1,45.39
244.7,46.15
246.3,43.87
247.9,44.63
249.5,43.87
251.1,43.11
252.7,40.83
254.3,39.31
255.9,40.83
257.5,42.35
259.1,43.11
260.7,43.11
262.3,43.87
263.9,43.11
265.5,40.83
267.1,39.31
268.7,38.55
270.3,37.03
271.9,36.27
273.5,37.79
275.1,39.31
276.7,40.83
278.3,42.35
279.9,42.35
281.5,43.11
283.1,44.63
284.7,46.91
286.3,48.43
288.0,49.19
289.6,49.19
291.2,49.19
292.8,49.19
294.4,49.19
296.0,49.19
297.6,49.19
299.2,52.23
300.8,52.23
302.4,50.71
304.0,49.95
305.6,48.43
307.2,49.19
308.8,48.43
310.4,47.67
312.0,47.67
313.6,49.95
315.2,51.47
316.8,51.47
318.4,50.71
320.0,49.95
321.6,49.19
323.2,49.95
324.8,50.71
326.4,52.23
328.0,52.23
329.6,52.99
331.2,50.71
332.8,50.71
334.4,52.23
336.1,52.99
337.7,55.27
339.3,57.55
340.9,59.83
342.5,61.35
344.1,62.87
345.7,62.87
347.3,62.11
348.9,61.35
350.5,62.11
352.1,63.63
353.7,65.15
355.3,67.43
356.9,68.95
358.5,70.47
360.1,70.47
361.7,70.47
363.3,70.47
364.9,68.95
366.5,68.95
368.1,69.71
369.7,70.47
371.3,70.47
372.9,68.95
374.5,68.95
376.1,68.19
377.7,65.91
379.3,63.63
380.9,61.35
382.5,60.59
384.2,61.35
385.8,60.59
387.4,62.11
389.0,62.87
390.6,61.35
392.2,60.59
393.8,59.07
395.4,49.95
397.0,49.19
398.6,47.67
400.2,48.43
401.8,49.19
403.4,46.91
405.0,45.39
406.6,45.39
408.2,46.91
409.8,48.43
411.4,47.67
413.0,55.27
414.6,55.27
416.2,56.03
417.8,56.03
419.4,55.27
421.0,55.27
422.6,55.27
424.2,56.03
425.8,56.79
427.4,57.55
429.0,59.07
430.6,59.07
435.5,58.31
437.1,57.55
438.7,59.83
440.3,61.35
441.9,62.87
443.5,65.15
445.1,66.67
446.7,66.67
448.3,65.91
449.9,67.43
451.5,67.43
453.1,68.19
454.7,69.71
456.3,70.47
