series,date,close,pct_from_start
Internet,1995-01-03,743.58,0.00
Internet,1995-06-30,933.45,25.53
Internet,1995-12-29,1052.13,41.50
Internet,1996-06-28,1185.02,59.37
Internet,1996-12-31,1291.03,73.62
Internet,1997-01-22,1388.06,86.67
Internet,1997-04-14,1201.00,61.52
Internet,1997-06-30,1442.07,93.94
Internet,1997-10-27,1535.09,106.45
Internet,1997-12-31,1570.35,111.19
Internet,1998-07-20,2014.25,170.89
Internet,1998-08-31,1499.25,101.63
Internet,1998-12-31,2192.69,194.88
Internet,1999-03-31,2461.40,231.02
Internet,1999-06-30,2686.12,261.24
Internet,1999-09-30,2746.16,269.32
Internet,1999-12-31,4069.31,447.26
Internet,2000-02-25,4590.50,517.35
Internet,2000-03-10,5048.62,578.96
Internet,2000-04-07,4446.45,497.98
AI,2022-12-01,11482.45,0.00
AI,2022-12-30,10466.48,-8.85
AI,2023-03-31,12221.91,6.44
AI,2023-06-30,13787.92,20.08
AI,2023-09-29,13219.32,15.13
AI,2023-12-29,15011.35,30.73
AI,2024-03-28,16379.46,42.65
AI,2024-06-28,17732.60,54.43
AI,2024-09-30,18189.17,58.41
AI,2024-12-16,20173.89,75.69
AI,2024-12-31,19310.79,68.18
AI,2025-02-19,19962.36,73.85
AI,2025-04-08,15267.91,32.97
AI,2025-06-30,20369.73,77.40
AI,2025-09-30,22640.00,97.17
AI,2025-12-31,23419.08,103.96
AI,2026-03-31,24850.00,116.42
AI,2026-06-12,25888.84,125.46
